#RA DEC ID
83.62273000 -5.39373000 0
83.62304000 -5.39849000 1
83.64147306 -5.36976694 2
83.64565306 -5.41881694 3
83.65933889 -5.39395194 4
83.65928111 -5.40653389 5
83.66579806 -5.40713806 6
83.66591500 -5.41564111 7
83.66633611 -5.44500000 8
83.66680694 -5.43447806 9
83.67037389 -5.37840806 10
83.67022000 -5.44425000 11
83.67077889 -5.43330500 12
83.67345000 -5.39937806 13
83.67393611 -5.44801694 14
83.67443111 -5.36378306 15
83.67929306 -5.33534306 16
83.68122306 -5.34994694 17
83.68306500 -5.36907111 18
83.68520306 -5.43501694 19
83.68548000 -5.41063694 20
83.68577111 -5.43003000 21
83.68834111 -5.41780806 22
83.68900500 -5.37760806 23
83.68921306 -5.37010806 24
83.69162389 -5.38074000 25
83.69141306 -5.41545694 26
83.69340111 -5.40884389 27
83.69415194 -5.39045500 28
83.69466806 -5.35691389 29
83.69487889 -5.44227889 30
83.69533806 -5.39599806 31
83.69599806 -5.39933389 32
83.69693806 -5.36840389 33
83.69706806 -5.38542611 34
83.69825806 -5.35790611 35
83.69984306 -5.39455389 36
83.70019000 -5.34836000 37
83.70044000 -5.36444000 38
83.70065111 -5.37737111 39
83.70332611 -5.31879389 40
83.70361806 -5.35503611 41
83.70348500 -5.38833306 42
83.70456111 -5.44074806 43
83.70430306 -5.47181889 44
83.70459000 -5.46914389 45
83.70548694 -5.31544111 46
83.70613000 -5.39984306 47
83.70668806 -5.48426306 48
83.70898389 -5.33339500 49
83.70936694 -5.31507389 50
83.70988500 -5.38992806 51
83.70962000 -5.44207000 52
83.71028306 -5.33904111 53
83.71058889 -5.39316111 54
83.71133389 -5.35337806 55
83.71138694 -5.40036500 56
83.71145500 -5.45024889 57
83.71171000 -5.40085000 58
83.71208500 -5.49021194 59
83.71429000 -5.44959000 60
83.71490000 -5.42027889 61
83.71469500 -5.43846694 62
83.71591806 -5.36084611 63
83.71683806 -5.40522500 64
83.71687694 -5.41191889 65
83.71747306 -5.37553389 66
83.71825694 -5.41700000 67
83.71818611 -5.50216194 68
83.71859194 -5.30981389 69
83.71918889 -5.40106694 70
83.71925500 -5.49606306 71
83.71958611 -5.35707194 72
83.71994000 -5.46472000 73
83.71994000 -5.46532000 74
83.72068194 -5.43804111 75
83.72067611 -5.48294694 76
83.72112889 -5.44988194 77
83.72164611 -5.40024389 78
83.72127306 -5.44097111 79
83.72242194 -5.44136889 80
83.72274111 -5.37214611 81
83.72326389 -5.44752889 82
83.72428306 -5.44355806 83
83.72476000 -5.37262000 84
83.72486000 -5.46363889 85
83.72541306 -5.41700889 86
83.72557389 -5.37407389 87
83.72615000 -5.35987306 88
83.72594306 -5.48169500 89
83.72629306 -5.36875194 90
83.72699194 -5.34948111 91
83.72756806 -5.38372611 92
83.72767889 -5.47171389 93
83.72867306 -5.42009694 94
83.72951306 -5.42482889 95
83.72935611 -5.44968611 96
83.72994694 -5.29616806 97
83.72964000 -5.33167000 98
83.73047889 -5.50607806 99
83.73180000 -5.49370111 100
83.73266500 -5.32934000 101
83.73255500 -5.33641194 102
83.73285111 -5.39392500 103
83.73292194 -5.35241000 104
83.73331306 -5.36863889 105
83.73325500 -5.38696694 106
83.73333000 -5.49063000 107
83.73340500 -5.52022694 108
83.73389000 -5.48209806 109
83.73450000 -5.37474389 110
83.73561500 -5.46410306 111
83.73542806 -5.52672500 112
83.73654000 -5.44370000 113
83.73686611 -5.36011111 114
83.73726194 -5.35610611 115
83.73727194 -5.36842694 116
83.73755889 -5.38335500 117
83.73954111 -5.51154389 118
83.73959889 -5.39632194 119
83.74049806 -5.37329889 120
83.74081694 -5.38089694 121
83.74064000 -5.39763000 122
83.74082694 -5.39796194 123
83.74145000 -5.49605694 124
83.74190194 -5.29382194 125
83.74189000 -5.49458000 126
83.74287111 -5.42591306 127
83.74252111 -5.47997111 128
83.74317389 -5.35467306 129
83.74502111 -5.35490694 130
83.74551000 -5.46757500 131
83.74666111 -5.38551194 132
83.74713000 -5.39246806 133
83.74772194 -5.38098611 134
83.74788000 -5.43775889 135
83.74819694 -5.40008306 136
83.74862000 -5.34245000 137
83.74849000 -5.42779000 138
83.74952111 -5.37603389 139
83.75050889 -5.38388000 140
83.75058500 -5.42118194 141
83.75108694 -5.31418000 142
83.75101694 -5.40256194 143
83.75095306 -5.43032194 144
83.75177000 -5.29860111 145
83.75200306 -5.42066500 146
83.75355000 -5.51834000 147
83.75453500 -5.38440694 148
83.75433194 -5.40287500 149
83.75464111 -5.37816194 150
83.75494306 -5.40188194 151
83.75481111 -5.49873194 152
83.75508389 -5.36234611 153
83.75518111 -5.37219000 154
83.75513389 -5.42347111 155
83.75561694 -5.30592611 156
83.75543889 -5.33804306 157
83.75558500 -5.33950806 158
83.75567111 -5.46988000 159
83.75624806 -5.47235806 160
83.75640194 -5.30219611 161
